iter	Passed	Remaining
515	987	160
516	989	158
517	990	156
518	992	154
519	994	152
520	996	151
521	997	149
522	999	147
523	1001	145
524	1003	143
525	1005	141
526	1007	139
527	1008	137
528	1010	135
529	1012	133
530	1014	131
531	1017	130
532	1019	128
533	1021	126
534	1023	124
535	1025	122
536	1026	120
537	1028	118
538	1030	116
539	1032	114
540	1034	112
541	1036	110
542	1038	108
543	1039	107
544	1041	105
545	1043	103
546	1046	101
547	1047	99
548	1049	97
549	1051	95
550	1053	93
551	1054	91
552	1056	89
553	1058	87
554	1059	85
555	1061	84
556	1063	82
557	1065	80
558	1067	78
559	1069	76
560	1070	74
561	1072	72
562	1074	70
563	1076	68
564	1078	66
565	1079	64
566	1081	62
567	1083	61
568	1085	59
569	1086	57
570	1088	55
571	1090	53
572	1092	51
573	1094	49
574	1095	47
575	1097	45
576	1099	43
577	1101	41
578	1102	40
579	1104	38
580	1106	36
581	1108	34
582	1110	32
583	1112	30
584	1114	28
585	1116	26
586	1117	24
587	1119	22
588	1121	20
589	1123	19
590	1124	17
591	1126	15
592	1128	13
593	1130	11
594	1131	9
595	1133	7
596	1135	5
597	1137	3
598	1139	1
599	1140	0
